"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"12/29/2017","1514505600","96651241.62500","71483.25830585","739.60"
"12/30/2017","1514592000","96671784.96875","66992.5802654940625","692.99"
"12/31/2017","1514678400","96692242.34375","71661.5215682234375","741.13"
"1/1/2018","1514764800","96712863.68750","73134.2675204875","756.20"
"1/2/2018","1514851200","96733424.75000","83381.3101317575","861.97"
"1/3/2018","1514937600","96754023.96875","91055.211956990625","941.10"
"1/4/2018","1515024000","96774989.84375","91435.9136540703125","944.83"
"1/5/2018","1515110400","96795904.71875","93614.2233306446875","967.13"
"1/6/2018","1515196800","96816855.87500","97437.45192115875","1,006.41"
"1/7/2018","1515283200","96838033.81250","108240.712293921875","1,117.75"
"1/8/2018","1515369600","96858637.25000","110042.0663660975","1,136.11"
"1/9/2018","1515456000","96879373.06250","124900.7629270975","1,289.24"
"1/10/2018","1515542400","96900455.00000","121027.69929045","1,248.99"
"1/11/2018","1515628800","96921488.28125","110424.59002859375","1,139.32"
"1/12/2018","1515715200","96942403.53125","122247.2791250121875","1,261.03"
"1/13/2018","1515801600","96963086.75000","134295.814410485","1,385.02"
"1/14/2018","1515888000","96984113.00000","131847.96194124","1,359.48"
"1/15/2018","1515974400","97004522.37500","124038.71271568875","1,278.69"
"1/16/2018","1516060800","97025411.84375","101901.909043016875","1,050.26"
"1/17/2018","1516147200","97046253.21875","99442.3252107209375","1,024.69"
"1/18/2018","1516233600","97066810.53125","98325.7670638403125","1,012.97"
"1/19/2018","1516320000","97087440.96875","100714.6277633425","1,037.36"
"1/20/2018","1516406400","97108201.90625","111722.986293140625","1,150.50"
"1/21/2018","1516492800","97128476.56250","101896.513476953125","1,049.09"
"1/22/2018","1516579200","97149043.43750","97114.0697818625","999.64"
"1/23/2018","1516665600","97169529.50000","95660.486706865","984.47"
"1/24/2018","1516752000","97190104.90625","103194.509587358125","1,061.78"
"1/25/2018","1516838400","97210444.34375","101718.0926479696875","1,046.37"
"1/26/2018","1516924800","97230845.37500","101954.3198433175","1,048.58"
"1/27/2018","1517011200","97251266.56250","107859.4347191375","1,109.08"
"1/28/2018","1517097600","97271829.87500","119798.0402374525","1,231.58"
"1/29/2018","1517184000","97292386.62500","113828.200655785","1,169.96"
"1/30/2018","1517270400","97312691.56250","103516.375649609375","1,063.75"
"1/31/2018","1517356800","97333229.93750","108167.391761843125","1,111.31"
"2/1/2018","1517443200","97353772.06250","99903.467352816875","1,026.19"
"2/2/2018","1517529600","97374413.65625","89338.1032971996875","917.47"
"2/3/2018","1517616000","97394732.75000","94557.6241849925","970.87"
"2/4/2018","1517702400","97415048.18750","80619.719729493125","827.59"
"2/5/2018","1517788800","97435682.00000","67725.59384456","695.08"
"2/6/2018","1517875200","97456063.62500","76503.98450626125","785.01"
"2/7/2018","1517961600","97476497.37500","73283.80549149875","751.81"
"2/8/2018","1518048000","97496881.71875","79318.5881222890625","813.55"
"2/9/2018","1518134400","97517153.84375","85608.35901635125","877.88"
"2/10/2018","1518220800","97537841.56250","82980.318709296875","850.75"
"2/11/2018","1518307200","97557965.84375","79142.92421108375","811.24"
"2/12/2018","1518393600","97578451.81250","84431.706999801875","865.27"
"2/13/2018","1518480000","97598896.25000","82078.719768325","840.98"
"2/14/2018","1518566400","97618948.81250","89820.170991869375","920.11"
"2/15/2018","1518652800","97639557.21875","90604.6271211390625","927.95"
"2/16/2018","1518739200","97659929.46875","91606.967040276875","938.02"
"2/17/2018","1518825600","97680480.59375","95216.0020683696875","974.77"
"2/18/2018","1518912000","97700826.68750","89288.78550970625","913.90"
"2/19/2018","1518998400","97721251.43750","91837.454888448125","939.79"
"2/20/2018","1519084800","97741658.75000","86552.1936563","885.52"
"2/21/2018","1519171200","97762331.18750","82130.13443061875","840.10"
"2/22/2018","1519257600","97782732.40625","78678.9199760409375","804.63"
"2/23/2018","1519344000","97803398.65625","83592.564831496875","854.70"
"2/24/2018","1519430400","97823879.65625","81535.2254546878125","833.49"
"2/25/2018","1519516800","97844094.68750","82216.4358840125","840.28"
"2/26/2018","1519603200","97864430.00000","84909.1367566","867.62"
"2/27/2018","1519689600","97884842.75000","85314.471244045","871.58"
"2/28/2018","1519776000","97905411.87500","83366.4582115625","851.50"
"3/1/2018","1519862400","97925799.03125","85182.7148033134375","869.87"
"3/2/2018","1519948800","97946474.00000","83803.0031544","855.60"
"3/3/2018","1520035200","97966909.81250","83825.386381065625","855.65"
"3/4/2018","1520121600","97987130.09375","84742.2097189778125","864.83"
"3/5/2018","1520208000","98007449.46875","83249.487727745625","849.42"
"3/6/2018","1520294400","98027893.62500","79960.37255097625","815.69"
"3/7/2018","1520380800","98048510.56250","73647.177738810625","751.13"
"3/8/2018","1520467200","98068810.90625","68533.4271256146875","698.83"
"3/9/2018","1520553600","98089185.21875","71302.99051921375","726.92"
"3/10/2018","1520640000","98109651.12500","66940.2149625875","682.30"
"3/11/2018","1520726400","98130178.81250","70689.0556093725","720.36"
"3/12/2018","1520812800","98150539.25000","68412.888868035","697.02"
"3/13/2018","1520899200","98170920.87500","67734.008566915","689.96"
"3/14/2018","1520985600","98191332.40625","60206.0154648921875","613.15"
"3/15/2018","1521072000","98211826.71875","59964.2129214","610.56"
"3/16/2018","1521158400","98232360.12500","58991.47922586625","600.53"
"3/17/2018","1521244800","98252774.00000","54018.39261746","549.79"
"3/18/2018","1521331200","98273107.06250","52810.00227324625","537.38"
"3/19/2018","1521417600","98293416.96875","54606.9077969890625","555.55"
"3/20/2018","1521504000","98313827.28125","54816.8406772065625","557.57"
"3/21/2018","1521590400","98334125.18750","55058.260033733125","559.91"
"3/22/2018","1521676800","98354609.09375","53100.6699036246875","539.89"
"3/23/2018","1521763200","98374840.53125","53499.1895261096875","543.83"
"3/24/2018","1521849600","98395365.21875","51181.333172185","520.16"
"3/25/2018","1521936000","98415695.28125","51472.3927890465625","523.01"
"3/26/2018","1522022400","98436127.81250","47864.567148828125","486.25"
"3/27/2018","1522108800","98456397.96875","44185.262280415625","448.78"
"3/28/2018","1522195200","98476750.90625","43913.7375316240625","445.93"
"3/29/2018","1522281600","98497151.09375","37813.056304890625","383.90"
"3/30/2018","1522368000","98517644.46875","38798.218744683125","393.82"
"3/31/2018","1522454400","98538107.93750","38830.912194930625","394.07"
"4/1/2018","1522540800","98558310.31250","37338.815861890625","378.85"
"4/2/2018","1522627200","98578775.56250","37921.2833833825","384.68"
"4/3/2018","1522713600","98599165.15625","41010.3507634390625","415.93"
"4/4/2018","1522800000","98619464.84375","37342.2603630859375","378.65"
"4/5/2018","1522886400","98640064.25000","37617.37490238","381.36"
"4/6/2018","1522972800","98660497.25000","36538.9151565375","370.35"
"4/7/2018","1523059200","98680750.25000","37990.115231245","384.98"
"4/8/2018","1523145600","98701110.59375","39551.5090371275","400.72"
"4/9/2018","1523232000","98721405.21875","39391.815110385625","399.02"
"4/10/2018","1523318400","98741940.31250","41042.087490890625","415.65"
"4/11/2018","1523404800","98762176.71875","42509.216103284375","430.42"
"4/12/2018","1523491200","98782375.43750","48793.554347353125","493.95"
"4/13/2018","1523577600","98803008.59375","48903.5371335625","494.96"
"4/14/2018","1523664000","98823397.25000","49687.4159033275","502.79"
"4/15/2018","1523750400","98843794.06250","52797.412598484375","534.15"
"4/16/2018","1523836800","98864379.40625","50585.9370107959375","511.67"
"4/17/2018","1523923200","98884763.28125","49742.0024733671875","503.03"
"4/18/2018","1524009600","98905014.78125","52002.278671685625","525.78"
"4/19/2018","1524096000","98925677.93750","56115.590810046875","567.25"
"4/20/2018","1524182400","98946026.18750","61065.5295218775","617.16"
"4/21/2018","1524268800","98966565.78125","59891.5966138390625","605.17"
"4/22/2018","1524355200","98987019.03125","61503.6045346865625","621.33"
"4/23/2018","1524441600","99007495.15625","63773.6978549953125","644.13"
"4/24/2018","1524528000","99027867.40625","69651.2505401859375","703.35"
"4/25/2018","1524614400","99048454.53125","61185.2018175890625","617.73"
"4/26/2018","1524700800","99069254.93750","65529.358678409375","661.45"
"4/27/2018","1524787200","99089624.84375","63747.3283507296875","643.33"
"4/28/2018","1524873600","99109892.84375","67694.039010138125","683.02"
"4/29/2018","1524960000","99130623.59375","68331.7301494078125","689.31"
"4/30/2018","1525046400","99151171.43750","66435.2509099825","670.04"
"5/1/2018","1525132800","99171622.53125","66525.3161101878125","670.81"
"5/2/2018","1525219200","99192491.93750","68119.45191315875","686.74"
"5/3/2018","1525305600","99213102.78125","77150.092984755625","777.62"
"5/4/2018","1525392000","99233695.34375","77820.0562255221875","784.21"
"5/5/2018","1525478400","99254410.62500","81049.1666281625","816.58"
"5/6/2018","1525564800","99275034.96875","78465.9948889503125","790.39"
"5/7/2018","1525651200","99295755.78125","74710.1266498125","752.40"
"5/8/2018","1525737600","99316134.21875","74267.6120074390625","747.79"
"5/9/2018","1525824000","99336661.34375","74628.6535677190625","751.27"
"5/10/2018","1525910400","99357126.87500","71895.81057801875","723.61"
"5/11/2018","1525996800","99377788.15625","67358.26481230625","677.80"
"5/12/2018","1526083200","99398399.09375","67952.72155645125","683.64"
"5/13/2018","1526169600","99418843.90625","72510.139614584375","729.34"
"5/14/2018","1526256000","99439236.12500","72333.09474968625","727.41"
"5/15/2018","1526342400","99459801.50000","70182.81433046","705.64"
"5/16/2018","1526428800","99480236.46875","70304.672717195","706.72"
"5/17/2018","1526515200","99500888.75000","66504.404022725","668.38"
"5/18/2018","1526601600","99521581.71875","69025.1834326734375","693.57"
"5/19/2018","1526688000","99542291.09375","69286.4117158046875","696.05"
"5/20/2018","1526774400","99562948.90625","71202.4429103046875","715.15"
"5/21/2018","1526860800","99583657.81250","69382.921907703125","696.73"
"5/22/2018","1526947200","99604185.50000","63830.34623582","640.84"
